"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"26","5","6359","","53105","0","","99",""
"57","10","636","","52712","0","","690",""
"26","9","6360","","53105","0","","99",""
"26","18","6361","","53105","0","","99",""
"26","10","6362","","53707","0","","578",""
"26","3","6363","","53107","0","","99",""
"26","2","6364","","53107","0","","99",""
"26","1","6365","","53107","0","","99",""
"26","8","6366","","53107","0","","99",""
"26","7","6367","","53107","0","","99",""
